Ticker,Company,EPS_2014,EPS_2024,EPS_2013,EPS_2023,EPS_2012,EPS_2022,EPS_2015,EPS_2020,EPS_2019,EPS_2018
ISRG,Intuitive Surgical,$1.23,$6.42,$1.86,$5.03,$1.78,$3.65,$1.73,$2.94,$3.85,$3.16
KDP,Keurig Dr Pepper,$3.56,$1.05,$3.05,$1.55,$2.96,$1.01,$3.97,$0.93,$0.88,$0.53
KLAC,KLA Corporation,$3.47,$20.28,$3.21,$24.15,$4.44,$21.92,$2.24,$7.70,$7.49,$5.10
KHC,Kraft Heinz,$-0.17,$2.26,$3.14,$2.31,$2.75,$1.91,$-0.34,$0.29,$1.58,$-8.36
LRCX,Lam Research,$0.36,$2.90,$0.07,$3.32,$0.14,$3.28,$0.37,$1.51,$1.37,$1.32
LIN,Linde plc,$5.73,$13.62,$5.87,$12.59,$5.61,$8.23,$5.35,$4.71,$4.19,$13.11
LULU,Lululemon,$1.91,$12.20,$1.85,$6.68,$1.27,$7.49,$1.66,$4.93,$3.61,$1.90
MAR,Marriott International,$2.54,$8.33,$2.00,$10.18,$1.72,$7.24,$3.15,$-0.82,$3.80,$5.38
MRVL,Marvell Technology,$0.63,$-1.08,$0.54,$-0.19,$0.99,$-0.53,$0.84,$2.34,$-0.30,$1.02
MELI,Mercado Libre,$1.63,$37.69,$2.66,$19.46,$2.30,$9.53,$2.40,$-0.08,$-3.71,$-0.82
META,Meta Platforms,$1.10,$23.86,$0.60,$14.87,$0.01,$8.59,$1.29,$10.09,$6.43,$7.57
MCHP,Microchip Technology,$0.91,$3.48,$0.31,$4.02,$0.83,$2.27,$0.83,$1.11,$0.71,$0.52
MU,Micron Technology,$2.54,$0.70,$1.13,$-5.34,$-1.04,$7.75,$2.47,$2.37,$5.51,$11.51
MSFT,Microsoft,$2.63,$11.80,$2.58,$9.68,$2.00,$9.65,$1.48,$5.76,$5.06,$2.13
MSTR,MicroStrategy,$0.04,$-6.06,$0.74,$2.64,$0.18,$-12.98,$0.92,$-0.08,$0.33,$0.20
MDLZ,Mondelez International,$1.28,$3.42,$2.19,$3.62,$1.71,$1.96,$4.44,$2.47,$2.69,$2.23
MNST,Monster Beverage,$0.46,$1.49,$0.33,$1.54,$0.31,$1.12,$0.48,$1.32,$1.02,$0.88
NFLX,"Netflix, Inc.",$0.62,$19.83,$0.26,$12.03,$0.04,$9.95,$0.28,$6.08,$4.13,$2.68
NVDA,Nvidia,$0.02,$1.19,$0.02,$0.17,$0.02,$0.39,$0.03,$0.11,$0.17,$0.12
NXPI,NXP Semiconductors,$2.17,$9.73,$1.36,$10.70,$-0.46,$10.55,$6.10,$0.18,$0.85,$6.72
ORLY,O'Reilly Automotive,$0.49,$2.71,$0.40,$2.57,$0.32,$2.23,$0.61,$1.57,$1.19,$1.07
ODFL,Old Dominion Freight Line,$1.03,$5.48,$0.80,$5.63,$0.66,$6.09,$1.19,$2.84,$2.55,$2.46
ON,Onsemi,$0.43,$3.63,$0.33,$4.89,$-0.21,$4.25,$0.48,$0.56,$0.51,$1.44
PCAR,Paccar,$2.55,$7.90,$2.20,$8.76,$2.08,$5.75,$3.01,$2.50,$4.58,$4.16
PLTR,Palantir Technologies,,$0.19,,$0.09,,$-0.18,,$-1.20,$-1.02,$-1.17
PANW,Palo Alto Networks,$-0.51,$3.64,$-0.07,$0.64,$0.00,$-0.45,$-0.27,$-0.46,$-0.15,$-0.22
PAYX,Paychex,$1.71,$4.67,$1.56,$4.30,$1.51,$3.84,$1.85,$3.04,$2.86,$2.75
PYPL,PayPal,$0.34,$3.99,$0.78,$3.84,$0.00,$2.09,$1.00,$3.54,$2.07,$1.71
PDD,PDD Holdings,,$10.40,,$5.80,,$3.16,,$-0.92,$-0.88,$-2.02
PEP,PepsiCo,$4.27,$6.95,$4.32,$6.56,$3.92,$6.42,$3.67,$5.12,$5.20,$8.78
QCOM,Qualcomm,$4.65,$8.97,$3.91,$6.42,$3.51,$11.37,$3.22,$4.52,$3.59,$-3.39
REGN,Regeneron Pharmaceuticals,$2.98,$38.34,$3.72,$34.77,$6.75,$38.22,$5.52,$30.52,$18.46,$21.29
ROP,Roper Technologies,$6.40,$14.35,$5.37,$12.89,$4.86,$42.55,$6.85,$8.98,$16.82,$9.05
ROST,Ross Stores,$1.94,$5.56,$1.77,$4.38,$1.43,$4.87,$2.21,$4.60,$4.26,$3.55
SHOP,Shopify,$-0.06,$1.55,$-0.01,$0.10,$0.00,$-2.73,$-0.03,$0.26,$-0.11,$-0.06
SBUX,Starbucks,$1.35,$3.31,$0.01,$3.58,$0.90,$2.83,$1.82,$0.79,$2.92,$3.24
SNPS,Synopsys,$1.64,$14.51,$1.58,$7.92,$1.21,$6.29,$1.43,$4.27,$3.45,$2.82
TMUS,T-Mobile US,$0.30,$9.66,$0.05,$6.93,$-13.70,$2.06,$0.82,$2.65,$4.02,$3.36
TTWO,Take-Two Interactive,$3.20,$-22.01,$-0.34,$-7.03,$-1.31,$3.58,$-3.48,$3.54,$2.90,$1.54
TSLA,"Tesla, Inc.",$-0.16,$2.04,$-0.04,$4.30,$-0.25,$3.62,$-0.46,$0.21,$-0.33,$-0.38
TXN,Texas Instruments,$2.57,$5.20,$1.91,$7.07,$1.51,$9.41,$2.82,$5.97,$5.24,$5.59
TRI,Thomson Reuters,$2.69,$4.89,$0.18,$5.80,$2.73,$2.75,$1.83,$2.33,$3.23,$6.10
TTD,Trade Desk (The),$0.00,$0.78,,$0.36,,$0.11,$0.04,$0.49,$0.23,$0.19
VRSK,Verisk Analytics,$2.37,$6.71,$2.02,$4.17,,,$3.01,$4.31,$2.70,$3.56
VRTX,Vertex Pharmaceuticals,$-3.14,$-2.08,$-1.98,$13.89,,,$-2.31,$10.29,$4.51,$8.09
WBD,Warner Bros. Discovery,$1.66,$-4.62,$1.49,$-1.28,,,$1.58,$1.81,$2.88,$0.86
WDAY,"Workday, Inc.",$-1.01,$5.21,$-1.62,$-1.44,,,$-1.35,$-2.12,$-1.93,$-1.55
XEL,Xcel Energy,$2.03,$3.44,$1.91,$3.21,,,$1.94,$2.79,$2.64,$2.47
ZS,Zscaler,,$-0.39,,$-1.40,,,$-0.55,$-0.89,$-0.23,$-0.63
