EPS_CAGR,Future_EPS,Future_Price,Sticker_Price,MOS_Price,Company,Ticker,EPS_initial,EPS_latest,Current_price
6.79,17.3,519.1,128.31,64.16,Qualcomm,QCOM,$4.65,$8.97,148.19
29.11,493.27,14798.21,3657.89,1828.95,Regeneron Pharmaceuticals,REGN,$2.98,$38.34,558.87
8.41,32.18,965.26,238.6,119.3,Roper Technologies,ROP,$6.40,$14.35,542.11
11.1,15.93,478.05,118.17,59.08,Ross Stores,ROST,$1.94,$5.56,137.01
9.38,8.12,243.47,60.18,30.09,Starbucks,SBUX,$1.35,$3.31,86.86
24.36,128.38,3851.34,951.99,476.0,Synopsys,SNPS,$1.64,$14.51,618.65
41.51,311.05,9331.56,2306.62,1153.31,T-Mobile US,TMUS,$0.30,$9.66,237.2
7.3,10.52,315.64,78.02,39.01,Texas Instruments,TXN,$2.57,$5.20,180.86
6.16,8.89,266.68,65.92,32.96,Thomson Reuters,TRI,$2.69,$4.89,201.08
10.97,19.0,569.93,140.88,70.44,Verisk Analytics,VRSK,$2.37,$6.71,271.89
,,,,,"Workday, Inc.",WDAY,,,222.22
5.42,5.83,174.88,43.23,21.61,Xcel Energy,XEL,$2.03,$3.44,73.47
